Institución;Grupo;Nombre;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15
I.E FELIPE DE RESTREPO;"1;1";Estudiante 001;1;1;1;1;1;2;2;2;1;1;2;3;2;2;3
I.E FELIPE DE RESTREPO;"1;1";Estudiante 002;1;2;1;2;1;1;1;1;1;1;1;2;1;2;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 003;1;1;1;2;2;2;1;2;1;1;1;3;1;2;4
I.E FELIPE DE RESTREPO;"1;1";Estudiante 004;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 005;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 006;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 007;2;2;2;1;1;1;1;1;1;1;2;1;1;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 008;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 009;1;1;2;1;1;2;1;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 010;1;2;2;1;1;1;2;1;2;1;2;1;2;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 011;1;2;1;1;2;2;1;1;2;2;2;1;1;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 012;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 013;1;1;1;1;1;1;2;1;1;1;2;1;2;2;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 014;1;2;1;2;1;1;1;1;1;1;2;3;1;2;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 015;1;2;1;2;1;1;2;1;1;1;2;1;2;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 016;1;2;1;2;2;2;1;1;2;2;2;1;1;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 017;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 018;1;1;2;1;1;1;1;1;2;2;2;1;2;1;3
I.E FELIPE DE RESTREPO;"1;1";Estudiante 019;1;1;1;2;1;1;2;2;1;1;2;3;1;2;1
I.E FELIPE DE RESTREPO;"1;1";Estudiante 020;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 021;2;1;1;1;2;1;2;2;1;1;2;1;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 022;1;2;2;2;2;2;1;2;1;2;1;2;2;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 023;1;2;1;1;1;1;1;1;1;1;2;3;1;2;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 024;2;1;2;1;1;1;1;1;1;1;1;1;1;2;2
I.E FELIPE DE RESTREPO;"1;2";Estudiante 025;1;1;2;2;1;1;1;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 026;1;2;2;2;1;1;1;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 027;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 028;2;1;1;2;1;1;1;1;1;1;2;2;1;1;2
I.E FELIPE DE RESTREPO;"1;2";Estudiante 029;2;2;1;2;1;1;1;1;1;1;2;2;2;1;2
I.E FELIPE DE RESTREPO;"1;2";Estudiante 030;2;1;2;1;2;2;1;2;2;1;2;2;1;2;4
I.E FELIPE DE RESTREPO;"1;2";Estudiante 031;1;1;2;2;2;1;1;2;1;1;0;0;1;2;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 032;1;2;1;2;1;1;1;1;1;1;1;2;2;2;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 033;1;1;2;2;1;1;1;1;1;1;1;1;1;1;3
I.E FELIPE DE RESTREPO;"1;2";Estudiante 034;1;2;1;2;1;1;1;1;1;1;2;3;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 035;1;2;1;1;2;1;2;1;1;1;2;1;1;1;3
I.E FELIPE DE RESTREPO;"1;2";Estudiante 036;1;2;1;2;1;1;1;1;2;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 037;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 038;1;2;2;2;1;1;1;1;1;1;2;2;1;2;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 039;2;1;2;1;1;1;1;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 040;1;1;1;2;1;2;1;1;1;2;1;3;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 041;1;1;1;2;2;2;2;2;0;1;2;2;1;2;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 042;1;1;1;2;2;1;1;1;1;1;2;1;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 043;1;2;2;2;1;1;1;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"1;2";Estudiante 044;2;2;1;2;1;2;1;1;2;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 045;1;2;1;2;1;1;1;1;1;1;2;2;1;2;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 046;1;2;1;2;2;1;1;1;1;2;1;1;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 047;2;1;2;2;1;1;1;1;1;2;1;2;2;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 048;2;2;2;2;1;1;2;1;1;1;1;2;2;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 049;2;2;2;2;1;1;1;1;1;1;1;2;2;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 050;1;2;1;2;2;1;2;1;1;1;1;1;1;2;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 051;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 052;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 053;2;2;1;2;1;2;1;1;2;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 054;1;1;1;2;1;2;1;1;2;2;2;2;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 055;2;2;1;2;1;1;1;1;2;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 056;2;2;1;2;1;1;1;2;2;1;1;2;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 057;1;2;1;2;1;2;1;2;1;1;2;1;2;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 058;1;1;2;2;1;1;1;2;1;1;2;3;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 059;1;2;1;2;1;2;1;2;2;1;1;3;1;2;2
I.E FELIPE DE RESTREPO;"2;1";Estudiante 060;1;2;1;2;1;2;1;1;1;1;2;1;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 061;2;2;1;2;1;1;2;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 062;2;2;1;2;1;1;1;1;1;2;2;3;1;2;2
I.E FELIPE DE RESTREPO;"2;1";Estudiante 063;1;2;1;2;1;1;1;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 064;1;2;1;2;1;1;1;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 065;2;2;1;2;1;1;1;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 066;1;2;1;2;1;1;1;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 067;1;2;0;2;1;1;1;0;1;1;2;1;1;1;3
I.E FELIPE DE RESTREPO;"2;1";Estudiante 068;1;2;1;2;1;1;2;2;1;1;2;1;2;2;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 069;1;1;1;1;1;1;2;2;1;1;2;1;2;2;1
I.E FELIPE DE RESTREPO;"2;1";Estudiante 070;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1
I.E FELIPE DE RESTREPO;"2;2";Estudiante 071;2;2;1;2;1;1;1;1;1;1;1;2;2;1;1
I.E FELIPE DE RESTREPO;"2;2";Estudiante 072;1;2;1;2;1;1;2;1;1;2;2;1;2;2;2
I.E FELIPE DE RESTREPO;"2;2";Estudiante 073;1;2;2;2;1;1;1;1;1;1;1;3;1;1;2
I.E FELIPE DE RESTREPO;"2;2";Estudiante 074;2;1;2;1;1;2;2;2;1;2;1;1;2;2;1
I.E FELIPE DE RESTREPO;"2;2";Estudiante 075;1;2;2;2;1;1;1;1;1;1;2;1;1;1;1
I.E FELIPE DE RESTREPO;"2;2";Estudiante 076;1;1;2;2;1;1;1;1;1;1;2;3;2;1;1
I.E FELIPE DE RESTREPO;"2;2";Estudiante 077;1;2;2;2;1;1;1;1;1;1;2;2;1;1;1
I.E FELIPE DE RESTREPO;"2;2";Estudiante 078;1;1;2;2;1;1;1;1;1;2;1;1;1;2;1
