Institución;Grupo;Nombre;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 001;1;1;2;1;2;1;1;2;1;1;2;1;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 002;1;1;2;1;2;1;1;2;1;2;1;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 003;2;1;2;1;2;1;2;2;1;1;2;3;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 004;1;1;1;1;1;1;2;1;1;1;1;1;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 005;1;2;1;2;1;1;1;1;1;1;2;2;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 006;1;1;2;2;1;1;1;1;1;1;2;2;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 007;1;1;2;0;2;0;1;1;1;1;2;0;1;1;0
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 008;1;1;2;1;2;1;1;1;1;1;2;2;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 009;1;1;1;1;1;2;2;1;1;1;2;3;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 010;1;1;2;1;1;1;2;1;1;1;1;1;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 011;2;2;2;1;2;1;2;2;2;2;1;0;2;2;0
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 012;1;2;2;1;2;1;1;1;1;2;2;1;2;1;3
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 013;2;1;2;2;2;1;2;2;2;2;1;0;2;2;0
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 014;2;2;2;1;2;1;0;2;2;2;1;2;2;2;4
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 015;2;2;2;1;2;2;2;2;2;2;1;3;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 016;1;2;1;2;1;1;1;1;1;1;1;3;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 017;1;2;1;2;1;1;1;1;1;1;2;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 018;1;2;2;1;2;1;1;1;1;2;2;1;2;1;3
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;1";Estudiante 019;2;1;2;2;1;1;1;1;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 020;2;2;1;1;1;2;1;1;2;1;2;2;1;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 021;1;2;1;2;1;1;1;1;1;1;2;3;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 022;2;2;1;2;1;1;1;2;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 023;2;1;2;1;2;1;1;1;2;2;2;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 024;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 025;1;2;1;2;1;2;2;1;1;1;2;3;1;1;4
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 026;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 027;1;2;1;2;2;1;2;1;1;1;2;1;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 028;2;1;2;2;2;1;2;1;2;1;2;3;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 029;2;2;2;2;1;2;2;1;2;1;2;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 030;1;1;2;2;2;1;2;2;2;2;2;1;1;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 031;1;2;1;2;1;1;2;1;1;2;2;1;1;2;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 032;2;2;1;2;1;2;1;2;1;1;2;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 033;2;1;1;1;2;1;2;1;2;2;2;3;1;1;4
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 034;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;2";Estudiante 035;2;1;2;2;1;1;1;1;1;1;2;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 036;2;2;2;2;0;1;1;1;1;1;2;1;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 037;2;2;2;2;2;1;1;1;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 038;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 039;2;2;1;2;1;1;1;1;1;1;2;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 040;2;2;1;2;2;1;1;2;1;1;2;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 041;2;2;2;2;2;1;1;1;1;1;2;1;0;0;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 042;2;1;2;2;2;1;1;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 043;2;2;2;2;1;1;1;1;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 044;2;2;1;1;2;1;1;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 045;2;2;1;2;1;1;1;1;1;1;2;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"1;3";Estudiante 046;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 047;2;2;1;2;1;1;1;1;1;1;1;3;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 048;2;2;2;2;1;1;1;1;1;1;1;1;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 049;2;1;1;1;2;1;2;2;2;2;1;0;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 050;1;2;1;2;1;1;2;1;1;1;2;1;1;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 051;2;1;1;1;2;1;1;1;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 052;2;2;2;2;1;1;1;1;1;1;1;1;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 053;1;2;2;1;2;1;2;1;1;2;1;3;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 054;1;2;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 055;1;2;1;1;2;2;1;2;2;1;1;0;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 056;1;2;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 057;1;2;1;2;1;1;1;1;1;1;2;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 058;1;2;1;2;1;1;1;1;1;1;1;1;2;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 059;2;1;2;2;1;1;1;1;1;1;1;2;2;2;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 060;1;1;2;1;1;1;1;1;1;1;1;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"2;1";Estudiante 061;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1
